id,name,age,city,salary
1,Aarav,28,Delhi,55000
2,Isha,31,Mumbai,72000
3,Kabir,24,Bangalore,48000
4,Meera,29,Hyderabad,60000
5,Arjun,35,Pune,83000
6,Neha,27,Chennai,52000
7,Rohan,30,Kolkata,75000
8,Saanvi,26,Ahmedabad,50000
9,Aditya,33,Jaipur,69000
10,Kiara,25,Chandigarh,47000
11,Isha,30,Bangalore,69587
12,Isha,28,Bangalore,39107
13,Rohan,24,Pune,53314
14,Meera,32,Chennai,49519
15,Rohan,31,Ahmedabad,55418
16,Neha,25,Chennai,59213
17,Meera,22,Kolkata,33475
18,Rohan,22,Mumbai,73531
19,Saanvi,30,Pune,76420
20,Meera,28,Chandigarh,36792
21,Aarav,24,Chandigarh,35525
22,Aarav,32,Hyderabad,66875
23,Neha,33,Chennai,41410
24,Rohan,26,Chennai,65604
25,Rohan,27,Chandigarh,37556
26,Aditya,28,Bangalore,73744
27,Neha,21,Pune,78997
28,Isha,25,Mumbai,32410
29,Saanvi,33,Ahmedabad,60366
30,Isha,21,Mumbai,36464
31,Kiara,33,Mumbai,69676
32,Saanvi,34,Chandigarh,41387
33,Aditya,26,Hyderabad,69846
34,Kabir,24,Ahmedabad,60522
35,Arjun,33,Kolkata,42145
36,Aarav,25,Pune,48263
37,Isha,25,Mumbai,35317
38,Kiara,21,Mumbai,40083
39,Isha,33,Mumbai,66932
40,Rohan,34,Mumbai,69479
41,Aarav,29,Hyderabad,39775
42,Aarav,25,Delhi,59234
43,Kabir,23,Bangalore,52925
44,Aditya,31,Kolkata,60030
45,Arjun,29,Chandigarh,66082
46,Kabir,27,Bangalore,63355
47,Kiara,32,Ahmedabad,74031
48,Saanvi,23,Pune,67871
49,Aditya,31,Delhi,53675
50,Kiara,30,Jaipur,62238
51,Isha,21,Chandigarh,56040
52,Aditya,31,Mumbai,71475
53,Isha,29,Kolkata,55353
54,Arjun,29,Delhi,35904
55,Kiara,30,Ahmedabad,44442
56,Rohan,20,Ahmedabad,79506
57,Arjun,24,Ahmedabad,46018
58,Kiara,24,Pune,50075
59,Kabir,30,Chandigarh,49365
60,Aarav,24,Hyderabad,60530
61,Kiara,20,Kolkata,44325
62,Kabir,30,Mumbai,38538
63,Saanvi,31,Chennai,30692
64,Kabir,31,Hyderabad,58668
65,Aditya,24,Hyderabad,78720
66,Kabir,31,Hyderabad,79334
67,Neha,26,Bangalore,30735
68,Aarav,24,Jaipur,45938
69,Kiara,27,Ahmedabad,79016
70,Saanvi,21,Jaipur,46932
71,Isha,27,Chandigarh,56422
72,Kabir,29,Chandigarh,62915
73,Aarav,25,Jaipur,55817
